type,count,granted_avg,rejected_avg,timeout_avg,error_avg,granted_count,rejected_count,timeout_count,error_count
Sqlite,2,4.8,4,0,0,10,10,0,0
Sqlite,2,5.1,1.4,0,0,10,10,0,0
Sqlite,2,5.1,1.7,0,0,10,10,0,0
Sqlite,2,4.3,2.5,0,0,10,10,0,0
Sqlite,4,8.05,5.55,0,0,20,20,0,0
Sqlite,4,5.2,1.55,0,0,20,20,0,0
Sqlite,4,4.1,2.35,0,0,20,20,0,0
Sqlite,4,4.15,1.7,0,0,20,20,0,0
Sqlite,8,4.725,4.225,0,0,40,40,0,0
Sqlite,8,5.075,3.175,0,0,40,40,0,0
Sqlite,8,4.575,3.1,0,0,40,40,0,0
Sqlite,8,5,3.525,0,0,40,40,0,0
Sqlite,16,7.775,7.6875,0,0,80,80,0,0
Sqlite,16,4.825,4.4375,0,0,80,80,0,0
Sqlite,16,5.5,5.2875,0,0,80,80,0,0
Sqlite,16,5.4375,4.5625,0,0,80,80,0,0
Sqlite,32,6.08125,7.06875,0,0,160,160,0,0
Sqlite,32,9.41875,10.275,0,0,160,160,0,0
Sqlite,32,8.95625,8.66875,0,0,160,160,0,0
Sqlite,32,6,6.3125,0,0,160,160,0,0
Sqlite,64,11.50625,14.328125,0,0,320,320,0,0
Sqlite,64,10.971875,12.51875,0,0,320,320,0,0
Sqlite,64,10.08125,12.36875,0,0,320,320,0,0
Sqlite,64,13.75,17.140625,0,0,320,320,0,0
Sqlite,128,15.23125,19.6265625,0,0,640,640,0,0
Sqlite,128,15.6109375,24.36875,0,0,640,640,0,0
Sqlite,128,16.7984375,23.3765625,0,0,640,640,0,0
Sqlite,128,16.5796875,24.7234375,0,0,640,640,0,0
Sqlite,256,27.87724784988272,40.17562149157979,0,0,1279,1247,0,0
Sqlite,256,31.7953125,44.05234375,0,0,1280,1280,0,0
Sqlite,256,24.3140625,38.4984375,0,0,1280,1280,0,0
Sqlite,256,33.06561264822135,51.40252100840336,0,0,1265,1190,0,0
